customer_id,income,payment_history,number_of_open_credit_cards,credit_score,total_debt
1362,89947,1.0,5,827,315084
1363,55963,1.0,14,321,49131
1364,122363,0.75,13,452,246016
1365,139158,0.88,15,676,8769
1366,38526,0.75,15,457,262055
1367,135351,0.99,8,809,43324
1368,94974,0.98,14,789,233030
1369,149771,0.98,1,775,167903
1370,86756,0.83,10,630,490024
1371,84191,0.76,10,518,437155
1372,101416,0.98,2,779,363385
1373,98576,1.0,13,329,459368
1374,114052,0.74,10,442,38041
1375,115709,0.7,7,384,79131
1376,115324,0.72,13,422,233487
1377,107009,0.8,15,594,242486
1378,69830,0.74,12,427,199192
1379,76894,0.82,7,602,369119
1380,119029,0.75,0,476,156272
1381,68543,0.75,8,481,293471
1382,147845,0.7,14,367,374301
1383,75614,0.75,8,463,188685
1384,63616,0.8,7,588,310940
1385,129374,0.8,15,584,368552
1386,52558,0.7,5,371,426869
1387,39691,0.99,12,802,471357
1388,121166,0.82,13,603,21556
1389,76299,1.0,11,842,492622
1390,142187,0.74,3,439,78931
1391,82858,0.83,12,644,440524
1392,100397,0.77,0,546,390330
1393,64325,0.92,13,715,329893
1394,122488,0.77,9,540,177242
1395,146530,1.0,10,304,232480
1396,100967,0.88,4,681,433798
1397,95897,0.99,12,809,84456
1398,116205,0.99,5,804,319254
1399,65857,0.98,10,776,182880
1400,149215,0.74,3,442,401569
1401,124015,0.7,1,360,48104
1402,48144,0.8,14,591,309336
1403,139575,0.77,14,527,79731
1404,59872,0.99,15,807,343695
1405,140258,0.77,0,526,381348
1406,77367,1.0,8,309,104091
1407,103529,0.78,4,575,377653
1408,132361,0.82,2,615,296218
1409,91794,0.75,2,467,171112
1410,35291,0.92,1,703,99185
1411,53592,0.98,8,765,158252
1412,119960,0.77,7,544,66192
1413,42788,0.83,13,634,149930
1414,138943,0.7,4,386,294857
1415,59276,0.75,14,492,333844
1416,60026,0.7,8,367,458166
1417,83881,0.7,4,374,467340
1418,77015,0.96,0,734,256230
1419,74928,0.75,4,497,432642
1420,110930,0.7,9,390,358065
1421,99091,0.74,0,437,459355
1422,146150,0.7,1,400,455054
1423,140468,0.98,0,765,417439
1424,36045,0.78,15,572,46786
1425,34351,0.7,12,360,375372
1426,88140,1.0,4,829,190088
1427,144678,1.0,9,316,293632
1428,131291,0.96,8,730,466081
1429,100002,0.72,12,424,390703
1430,53601,0.75,11,491,35500
1431,105705,0.98,4,797,325353
1432,101477,0.77,10,527,443268
1433,118532,0.77,5,526,99640
1434,46290,0.76,1,523,464285
1435,85775,0.98,8,760,119918
1436,106459,1.0,10,337,341475
1437,90480,0.8,7,586,227466
1438,36267,0.88,8,676,369255
1439,112787,0.77,0,526,417373
1440,121767,0.75,4,455,366531
1441,141706,0.83,1,644,48386
1442,73998,0.82,4,621,294674
1443,116636,0.99,15,807,133971
1444,55599,0.76,10,523,160833
1445,55664,0.83,2,637,435834
1446,109432,0.98,12,769,177576
1447,39365,0.75,1,492,148315
1448,136434,0.85,3,659,153783
1449,32499,0.92,15,723,367594
1450,104087,0.77,6,531,201085
1451,126164,1.0,0,321,393217
1452,79535,1.0,15,845,449761
1453,112501,0.72,14,402,290274
1454,126489,0.74,10,447,200405
1455,141070,0.7,15,398,114580
1456,59518,0.92,2,722,409684
1457,124467,0.74,6,428,224001
1458,69862,0.92,15,703,342253
1459,78246,1.0,5,317,101654
1460,65321,0.77,15,548,93897
1461,46213,0.74,7,429,340089
1462,134172,1.0,2,840,486984
1463,117310,0.88,4,677,185668
1464,146693,0.88,8,676,144312
1465,42419,0.7,11,370,414609
1466,44158,0.78,7,557,434749
1467,59136,0.7,9,367,322140
1468,112649,0.76,2,516,424882
1469,134203,1.0,13,330,89209
1470,56532,0.7,4,364,38241
1471,143564,0.99,1,812,379566
1472,44460,0.98,3,794,165711
1473,139694,0.75,3,498,269263
1474,93892,0.72,15,412,254314
1475,51387,0.98,11,757,424244
1476,125219,0.76,4,524,353715
1477,89123,0.83,3,647,161691
1478,147257,0.75,1,462,242455
1479,45706,1.0,15,313,148814
1480,127935,0.7,4,375,133103
1481,67622,1.0,6,829,466273
1482,48430,1.0,10,827,297523
1483,99442,0.76,7,502,53264
1484,73570,0.98,5,751,354036
1485,45766,0.92,1,714,143670
1486,111960,0.77,2,526,490668
1487,118024,0.72,2,422,319337
1488,99776,0.98,10,784,255379
1489,132095,1.0,4,308,69435
1490,112366,0.8,11,598,187646
1491,111926,0.98,15,781,466712
1492,43896,0.75,3,497,378401
1493,30926,0.8,10,599,390945
1494,100554,1.0,14,834,29328
1495,81255,0.75,5,465,336070
1496,67483,0.88,3,698,446302
1497,94310,0.78,6,571,471793
1498,60884,0.83,14,636,41157
1499,111195,0.7,6,396,150366
1500,41990,1.0,8,318,294425
1501,134340,0.7,14,393,462875
1502,88269,0.88,15,685,157623
1503,102136,0.74,11,428,218367
1504,76491,1.0,12,335,455461
1505,135386,0.78,11,551,333674
1506,30892,0.98,2,759,114113
1507,50471,0.83,9,645,374247
1508,142973,0.7,3,377,318150
1509,141376,0.98,8,764,187480
1510,89724,0.7,9,365,383373
1511,61019,0.75,4,474,87272
1512,134815,0.92,11,716,130391
1513,127654,0.99,14,825,61929
1514,132572,0.85,8,664,133605
1515,34646,0.75,3,467,335839
1516,101554,0.7,10,385,153605
1517,32658,1.0,5,341,164743
1518,130410,0.76,1,505,481549
1519,34923,0.82,9,611,238799
1520,104238,0.98,1,776,464906
1521,102599,0.98,13,757,464683
1522,56337,0.74,3,429,305655
1523,139875,0.77,3,531,217845
1524,29337,0.99,6,814,374188
1525,146792,0.92,6,720,288562
1526,106947,0.96,13,738,90689
1527,134983,0.74,4,432,191788
1528,127001,0.83,11,642,311355
1529,117555,0.92,14,723,333330
1530,129137,0.75,6,484,349861
1531,78207,0.77,4,531,121007
1532,138935,1.0,15,845,365616
1533,43747,0.92,2,719,198451
1534,96434,1.0,5,338,263895
1535,76652,1.0,4,310,324493
1536,145995,0.76,4,515,299816
1537,61593,0.72,7,425,3630
1538,70135,1.0,10,314,262867
1539,143559,0.98,13,781,39823
1540,98208,0.76,2,512,449652
1541,51248,0.75,2,460,310208
1542,43130,0.7,14,366,117199
1543,104759,0.99,1,822,251168
1544,89552,0.75,3,477,105108
1545,64564,0.88,0,683,85685
1546,101805,0.8,12,588,423538
1547,66401,0.76,11,516,408367
1548,39921,1.0,3,829,460372
1549,128778,0.72,14,418,333005
1550,137159,0.77,11,549,72075
1551,146884,0.7,13,400,109826
1552,41444,0.98,8,777,330521
1553,96067,0.74,7,450,332083
1554,39940,0.85,13,675,278648
1555,99687,0.92,1,714,177955
1556,149804,0.76,2,504,234336
1557,58024,0.98,11,766,230068
1558,69444,0.98,6,758,345951
1559,94607,0.83,4,631,42748
1560,71006,0.82,7,606,87349
1561,28791,0.99,0,821,281774
1562,32151,0.7,10,396,44540
1563,48961,0.78,4,557,266466
1564,53619,0.82,12,610,128747
1565,104414,0.77,1,526,412291
1566,134631,0.98,5,787,357855
1567,88247,0.75,7,451,390873
1568,82827,0.75,14,479,172194
1569,37143,0.99,6,825,434818
1570,112744,1.0,9,339,322199
1571,104853,0.98,3,766,138702
1572,93803,0.76,14,507,38965
1573,147955,0.72,11,424,179272
1574,65311,0.98,7,778,300803
1575,142658,0.76,5,508,173461
1576,110195,0.82,6,610,21319
1577,105653,0.98,12,774,267222
1578,47838,0.7,10,399,354504
1579,30001,0.83,13,640,48120
1580,63927,1.0,14,837,216027
1581,142413,0.8,14,591,394286
1582,29902,0.98,8,791,64909
1583,56522,0.98,2,773,328354
1584,106129,0.96,8,740,287101
1585,34645,0.8,3,596,274043
1586,61487,0.77,15,533,237933
1587,111840,0.98,2,754,426946
1588,25043,0.92,6,725,60890
1589,143630,1.0,2,830,78547
1590,76380,0.8,2,587,179252
1591,119235,0.78,1,557,277687
1592,29375,0.72,2,406,112387
1593,42428,0.77,8,529,251120
1594,92218,0.78,3,551,225799
1595,109616,0.72,5,407,90914
1596,53430,0.8,7,587,279625
1597,105805,0.72,1,422,402031
1598,112751,0.74,15,437,237332
1599,38263,0.7,2,362,84720
1600,140430,1.0,3,322,301187
1601,75337,0.74,2,439,444695
1602,137097,0.83,5,651,47097
1603,122338,0.96,10,726,208490
1604,101836,0.7,10,364,411839
1605,99167,0.7,11,387,188425
1606,70140,0.98,5,753,254055
1607,40352,0.98,1,754,111660
1608,120962,1.0,9,325,139095
1609,136021,0.72,14,419,336886
1610,124119,0.82,15,603,209662
1611,148152,0.83,11,634,141877
1612,94086,1.0,4,339,10354
1613,121166,1.0,5,842,497123
1614,142534,1.0,9,827,417000
1615,132623,0.83,8,642,440650
1616,61304,0.98,11,795,469567
1617,92089,0.8,11,582,55063
1618,141541,1.0,0,832,38510
1619,119204,0.82,10,605,62119
1620,78085,0.75,15,463,312011
1621,133684,0.98,9,782,247194
1622,34320,0.92,12,713,18885
1623,55113,0.83,0,632,157450
1624,104939,0.98,15,777,30792
1625,69870,0.72,1,405,447517
1626,93617,0.7,2,358,403437
1627,44819,0.78,1,564,87887
1628,74278,1.0,6,846,50506
1629,140249,1.0,0,306,461108
1630,66851,0.74,8,436,294437
1631,102929,0.77,14,539,297520
1632,145839,0.85,6,659,253702
1633,77517,0.75,0,456,201830
1634,95894,0.72,2,419,435885
1635,98191,0.82,2,612,367333
1636,42250,0.72,2,407,232146
1637,101207,1.0,5,835,195377
1638,31891,1.0,4,311,123081
1639,110214,0.83,11,647,397024
1640,46737,0.77,8,539,195466
1641,34529,0.72,1,417,368226
1642,109229,0.99,5,816,188155
1643,91729,0.78,2,563,378610
1644,60625,0.98,8,786,454617
1645,36423,0.75,11,494,371158
1646,108755,0.75,4,470,167377
1647,46641,0.76,15,510,298343
1648,123842,0.99,9,816,243163
1649,141283,0.83,12,644,347111
1650,55063,0.88,4,700,132623
1651,138003,0.88,10,686,209323
1652,149381,0.85,7,669,102895
1653,145592,0.99,0,823,201192
1654,96980,0.72,1,407,439783
1655,88397,0.72,2,407,234949
1656,126686,0.98,12,781,274224
1657,107376,0.96,13,747,140825
1658,54762,0.78,7,561,230970
1659,124040,0.76,10,519,53024
1660,76624,0.7,0,377,66850
1661,52004,0.82,7,605,226878
1662,135638,0.98,7,792,396533
1663,60929,0.75,1,479,126887
1664,34884,0.76,10,519,312026
1665,48701,0.83,1,643,135271
1666,60740,1.0,5,333,476886
1667,142582,0.78,6,551,4747
1668,47712,0.92,8,717,463810
1669,81640,0.72,0,411,368581
1670,131258,0.99,6,815,66861
1671,139219,0.96,15,741,131149
1672,92259,0.92,6,709,26364
1673,63844,0.75,2,469,366947
1674,107768,1.0,14,325,261301
1675,77198,1.0,5,337,123590
1676,64043,1.0,7,828,36843
1677,54469,0.83,11,630,267587
1678,48888,0.83,11,655,274025
1679,58352,1.0,14,845,428509
1680,77525,0.75,5,468,163650
1681,81777,0.8,4,582,401658
1682,69610,0.7,12,357,96885
1683,116381,0.98,2,783,372356
1684,113047,0.77,0,527,479296
1685,134412,0.83,3,640,342615
1686,142649,0.74,14,441,429801
1687,78411,0.98,7,755,279895
1688,79433,0.88,1,694,340222
1689,38498,0.92,2,707,396879
1690,55839,0.99,8,807,24302
1691,99453,0.76,14,521,68948
1692,89100,0.8,13,578,139121
1693,37571,1.0,14,826,58922
1694,121623,0.99,14,813,124764
1695,44376,0.7,0,374,65427
1696,49875,0.88,4,693,396924
1697,31163,0.72,2,410,386093
1698,98527,0.98,1,786,162920
1699,30889,0.76,4,514,105922
1700,123141,0.88,4,676,408791
1701,50741,0.7,5,395,190210
1702,61740,0.83,5,647,293327
1703,68496,0.7,4,383,94974
1704,82993,0.78,0,558,441091
1705,89311,0.92,0,720,219044
1706,131694,0.88,1,680,229937
1707,94535,0.82,3,623,91937
1708,113112,0.85,2,664,388899
1709,66607,0.99,6,803,480046
1710,70158,0.8,0,585,10034
1711,70441,0.75,7,480,29711
1712,126936,0.75,8,463,71928
1713,141383,0.82,9,615,177098
1714,92774,0.77,10,540,261782
1715,82583,0.78,0,574,368099
1716,51352,0.74,11,429,474870
1717,67025,1.0,14,842,428168
1718,65008,0.77,0,535,267119
1719,58688,0.74,0,441,142797
1720,100562,0.82,0,618,11923
1721,129557,0.88,9,693,6208
1722,143278,0.85,1,672,47274
1723,114813,0.7,0,352,71732
1724,64158,0.75,11,483,320825
1725,29047,0.7,8,366,317170
1726,97171,0.8,14,588,89022
1727,82180,0.83,4,654,221188
1728,146057,0.75,12,478,435508
1729,81082,0.99,12,814,149263
1730,128991,0.82,4,625,342107
1731,53029,0.75,2,485,186696
1732,127730,0.96,15,740,449366
1733,72449,0.99,14,824,167449
1734,69908,0.99,12,801,359628
1735,48310,0.88,2,693,493710
1736,119076,0.75,9,480,260710
1737,97551,0.82,12,615,416968
1738,45520,1.0,4,844,224581
1739,143968,0.98,13,784,358309
1740,26575,0.92,11,714,497818
1741,114101,0.92,7,710,45245
1742,128980,0.88,5,693,115882
1743,136090,0.78,7,567,354615
1744,82928,0.92,1,705,183358
1745,118679,0.85,1,674,183881
1746,41431,0.72,12,425,210169
1747,45942,0.98,3,794,272879
1748,42814,0.77,13,530,212884
1749,137837,0.7,13,397,141041
1750,72457,0.74,8,428,79568
1751,87395,1.0,15,308,56675
1752,127772,0.7,15,369,453071
1753,121656,0.98,5,767,146352
1754,148377,1.0,10,340,248674
1755,26442,0.75,10,459,205839
1756,118166,0.7,15,391,464388
1757,27482,1.0,5,331,46356
1758,101982,1.0,3,838,284594
1759,115790,0.7,15,353,280339
1760,49218,0.7,10,355,305855
1761,110001,0.75,11,481,446073
1762,78294,0.83,9,632,448040
1763,68549,0.7,1,375,156323
1764,138379,0.75,11,459,206446
1765,79169,1.0,3,328,51969
1766,149071,0.8,2,598,487978
1767,141048,0.88,11,680,460790
1768,62462,0.75,5,452,80518
1769,88503,0.99,5,815,11443
1770,53501,0.98,15,794,255209
1771,99184,0.74,3,445,235581
1772,104904,0.7,2,364,226748
1773,74659,0.83,5,646,484055
1774,41192,0.82,0,602,393114
1775,67652,0.85,0,670,32355
1776,96649,0.92,7,725,417597
1777,32416,0.77,8,529,19117
1778,149444,0.75,6,497,87658
1779,34042,1.0,4,322,31470
1780,72601,0.99,9,813,356658
1781,91147,0.77,6,550,460767
1782,37836,0.76,0,502,289425
1783,65700,0.82,12,619,92641
1784,60160,1.0,1,845,79184
1785,91993,0.74,3,444,299935
1786,132445,0.7,8,366,249907
1787,45670,0.75,11,482,295111
1788,105364,0.74,12,445,208920
1789,106222,0.7,7,357,24960
1790,97892,0.77,7,537,440365
1791,62813,1.0,14,314,406376
1792,105706,0.7,5,357,401857
1793,114665,0.74,11,445,230014
1794,52024,0.92,3,712,233038
1795,68341,0.99,7,823,467025
1796,132364,0.76,8,505,323136
1797,106096,0.96,7,741,111996
1798,90892,1.0,14,336,3669
1799,113291,0.92,4,723,261517
1800,82105,0.98,5,765,140197
1801,110279,0.85,3,671,496109
1802,108908,0.77,2,548,36795
1803,132608,0.74,6,440,272149
1804,44098,1.0,3,328,153548
1805,130817,0.78,7,574,19104
1806,118641,0.98,15,752,463696
1807,51843,0.75,8,496,272584
1808,67246,0.77,13,538,283101
1809,129011,1.0,4,846,322266
1810,102660,0.72,2,425,251748
1811,35033,0.7,6,363,304120
1812,115247,0.78,4,571,452843
1813,73448,0.75,2,458,379161
1814,82440,0.75,14,498,437280
1815,100313,0.77,9,527,204190
1816,60277,0.7,13,400,491571
1817,111552,1.0,4,840,234444
1818,148121,0.72,13,410,82309
1819,32905,0.75,0,458,329521
